,ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1,active_ingredient,smile_x,ATC_LVL0
16,chloramphenicol,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
17,polidocanol,sclerosing agents for local injection,antivaricose therapy drugs,vasoprotectives,cardiovascular system drugs,polidocanol,CCCCCCCCCCCCOCCO,ROOT
18,buspirone,"azaspirodecanedione derivatives, anxiolytics",anxiolytics,psycholeptics,nervous system drugs,buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,ROOT
19,methoxsalen,psoralens for systemic use,antipsoriatics for systemic use,antipsoriatics,dermatologicals,methoxsalen,COc1c2occc2cc2ccc(=O)oc12,ROOT
20,methoxsalen,psoralens for topical use,antipsoriatics for topical use,antipsoriatics,dermatologicals,methoxsalen,COc1c2occc2cc2ccc(=O)oc12,ROOT
21,megestrol,"progestogens, endocrine therapy drugs",hormones and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,megestrol,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ROOT
22,megestrol,progestogen systemic hormonal contraceptives,hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones,megestrol,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ROOT
23,megestrol,"pregnadien derivatives, progestogens",progestogen sex hormones and modulators of the genital system,sex hormones and modulators of the genital system,genito urinary system and sex hormones,megestrol,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ROOT
24,cilazapril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs,cilazapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,ROOT
25,bifonazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals,bifonazole,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,ROOT
26,candesartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs,candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,ROOT
27,mirabegron,drugs for urinary frequency and incontinence,urologicals,urologicals,genito urinary system and sex hormones,mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,ROOT
28,pindolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,ROOT
29,tridihexethyl,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs,tridihexethyl,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,ROOT
30,tioconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals,tioconazole,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,ROOT
31,tioconazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,tioconazole,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,ROOT
32,valaciclovir,nucleosides and nucleotides excl. reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,valaciclovir,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,ROOT
33,methohexital,"barbiturates, hypnotics and sedatives, plain",hypnotics and sedatives,psycholeptics,nervous system drugs,methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,ROOT
34,methohexital,"barbiturates for general anesthesia, plain","anesthetics, general",anesthetics,nervous system drugs,methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,ROOT
35,formestane,aromatase inhibitors,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,formestane,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,ROOT
36,salbutamol,selective beta-2-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs,salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,ROOT
37,salbutamol,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs,salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,ROOT
38,diphenhydramine,"aminoalkyl ethers, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,ROOT
39,diphenhydramine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals,diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,ROOT
40,dofetilide,"antiarrhythmics, class iii","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs,dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,ROOT
41,tacrine,anticholinesterase anti-dementia drugs,anti-dementia drugs,psychoanaleptics,nervous system drugs,tacrine,Nc1c2c(nc3ccccc13)CCCC2,ROOT
42,epinephrine,other agents for local oral treatment in atc,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
43,epinephrine,local hemostatics,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
44,epinephrine,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
45,epinephrine,alpha- and beta-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
46,epinephrine,sympathomimetics in glaucoma therapy,antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
47,epinephrine,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,ROOT
48,ethambutol,other drugs for treatment of tuberculosis in atc,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use,ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,ROOT
49,cloxazolam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs,cloxazolam,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,ROOT
50,estradiol,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones,estradiol,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,ROOT
51,altretamine,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,ROOT
52,niclosamide,salicylic acid derivative anticestodals,anticestodals,anthelmintics,"antiparasitic products, insecticides and repellents",niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,ROOT
53,bedaquiline,other drugs for treatment of tuberculosis in atc,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use,bedaquiline,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,ROOT
54,eszopiclone,benzodiazepine related hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs,eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,ROOT
55,idoxuridine,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,idoxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,ROOT
56,idoxuridine,"antivirals, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,idoxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,ROOT
57,idoxuridine,nucleosides and nucleotides excl. reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,idoxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,ROOT
58,droperidol,"butyrophenone derivatives, antipsychotics",antipsychotics,psycholeptics,nervous system drugs,droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,ROOT
59,ephedrine,sympathomimetics excl. antiglaucoma preparations,mydriatics and cycloplegics,ophthalmologicals,sensory organ drugs,ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,ROOT
60,ephedrine,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,ROOT
61,ephedrine,"sympathomimetics, combinations excl. corticosteroids",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,ROOT
62,ephedrine,"alpha- and beta-adrenoreceptor agonist, systemic drugs",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs,ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,ROOT
63,ephedrine,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs,ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,ROOT
64,oxiconazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,oxiconazole,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
65,oxiconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals,oxiconazole,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
66,bromocriptine,prolactine inhibitors,other gynecologicals in atc,other gynecologicals in atc,genito urinary system and sex hormones,bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ROOT
67,bromocriptine,dopamine agonists,dopaminergic agents,anti-parkinson drugs,nervous system drugs,bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ROOT
68,dexmedetomidine,other hypnotics and sedatives in atc,hypnotics and sedatives,psycholeptics,nervous system drugs,dexmedetomidine,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,ROOT
69,cefotaxime,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefotaxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,ROOT
70,furazolidone,other gynecological antiinfectives and antiseptics in atc,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,furazolidone,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,ROOT
71,chlorotrianisene,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones,chlorotrianisene,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,ROOT
72,apixaban,direct factor xa inhibitors,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,ROOT
73,sulfamethizole,antiinfective irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs,sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,ROOT
74,sulfamethizole,short-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use,sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,ROOT
75,sulfamethizole,"sulfonamides, ophthalmologic antiinfectives",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,ROOT
76,sulfamethizole,"sulfonamides, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,ROOT
77,desloratadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,desloratadine,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,ROOT
78,prednisolone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
79,prednisolone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
80,prednisolone,corticosteroids,corticosteroid otologicals,otologicals,sensory organ drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
81,prednisolone,corticosteroids,corticosteroid ophthalmologic and otologic preparations,ophthalmological and otological preparations,sensory organ drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
82,prednisolone,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins",prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
83,prednisolone,"corticosteroids, topical for treatment of hemorrhoids and anal fissures",agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
84,prednisolone,corticosteroids acting locally,intestinal antiinflammatory agents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
85,prednisolone,"corticosteroids, weak, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
86,prednisolone,corticosteroids/antiinfectives/mydriatics in combination,antiinflammatory agents and antiinfectives in combination,ophthalmologicals,sensory organ drugs,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
87,prednisolone,"corticosteroids, weak (group i)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
88,nitrofurantoin,"nitrofuran derivatives, antibacterials for systemic use",other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,nitrofurantoin,O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,ROOT
89,dutasteride,testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones,dutasteride,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,ROOT
90,aztreonam,monobactams,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],ROOT
91,sertraline,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs,sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,ROOT
92,phentolamine,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc,phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,ROOT
93,phentolamine,"imidazoline derivatives, peripheral vasodilators",peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs,phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,ROOT
94,rosiglitazone,"thiazolidinediones, blood glucose lowering drugs","blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs,rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,ROOT
95,guanethidine,"guanine derivatives, peripherally acting antiadrenergic agents","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs,guanethidine,NC(N)=NCCN1CCCCCCC1,ROOT
96,guanethidine,other antiglaucoma preparations in atc,antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs,guanethidine,NC(N)=NCCN1CCCCCCC1,ROOT
97,tazarotene,other antipsoriatics for topical use in atc,antipsoriatics for topical use,antipsoriatics,dermatologicals,tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,ROOT
98,prazosin,"alpha-adrenoreceptor antagonists, peripherally acting","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs,prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,ROOT
99,dextrothyroxine,other lipid modifying agents in atc,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs,dextrothyroxine,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,ROOT
100,cefprozil,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefprozil,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,ROOT
101,deferiprone,iron chelating agents,all other therapeutic products,all other therapeutic products,various drug classes in atc,deferiprone,Cc1c(O)c(=O)ccn1C,ROOT
102,cyclizine,"piperazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,cyclizine,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,ROOT
103,gliquidone,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs,gliquidone,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,ROOT
104,dexamethasone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
105,dexamethasone,"corticosteroids, topical for treatment of hemorrhoids and anal fissures",agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
106,dexamethasone,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins",dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
107,dexamethasone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
108,dexamethasone,"corticosteroids, combinations for treatment of acne",anti-acne preparations for topical use,anti-acne preparations,dermatologicals,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
109,dexamethasone,corticosteroids,corticosteroid otologicals,otologicals,sensory organ drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
110,dexamethasone,corticosteroids,corticosteroid ophthalmologic and otologic preparations,ophthalmological and otological preparations,sensory organ drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
111,dexamethasone,"corticosteroids, moderately potent, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
112,dexamethasone,corticosteroids/antiinfectives/mydriatics in combination,antiinflammatory agents and antiinfectives in combination,ophthalmologicals,sensory organ drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
113,dexamethasone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,ROOT
