ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
cinepazet,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
mipomersen,other lipid modifying agents in atc,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
"cholera, combinations with typhoid vaccine, inactivated, whole cell",cholera vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
bismuth subcitrate,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord) in atc,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
"attapulgite, combinations",other intestinal adsorbents in atc,intestinal adsorbents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
trimethyldiphenylpropylamine,other drugs for functional gastrointestinal disorders in atc,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
"multienzymes (lipase, protease etc.)","enzyme preparations, digestives","digestives, incl. enzymes","digestives, incl. enzymes",alimentary tract and metabolism drugs
norgestimate and ethinylestradiol,"progestogens and estrogen systemic contraceptives, fixed combinations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
polidocanol,sclerosing agents for local injection,antivaricose therapy drugs,vasoprotectives,cardiovascular system drugs
buspirone,"azaspirodecanedione derivatives, anxiolytics",anxiolytics,psycholeptics,nervous system drugs
temocillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
iodine (131i) human albumin,iodine i-131 diagnostic radiopharmaceuticals,other diagnostic radiopharmaceuticals in atc,diagnostic radiopharmaceuticals,various drug classes in atc
itramin tosilate,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
dapoxetine,other urologicals in atc,urologicals,urologicals,genito urinary system and sex hormones
aclidinium bromide,anticholinergics inhalants for obstructive airway diseases,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs
losartan and amlodipine,angiotensin ii antagonists and calcium channel blockers,"angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
magnesium peroxide,antacids containing magnesium compounds,antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
"diprophylline, combinations","xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
methoxsalen,psoralens for systemic use,antipsoriatics for systemic use,antipsoriatics,dermatologicals
"mercury, metallic",mercurial antiseptic and disinfectant products,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
megestrol,"progestogens, endocrine therapy drugs",hormones and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
nicomorphine,natural opium alkaloid analgesics,opioid analgesics,analgesics,nervous system drugs
technetium (99mtc) mertiatide,"technetium 99m compounds, renal system diagnostic radiopharmaceuticals",renal system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
cilazapril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
bifonazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
candesartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
sulglicotide,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord) in atc,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
labetalol and thiazides,alpha and beta blocking agents and thiazides,beta blocking agents and thiazides,beta-adrenergic blocking agents,cardiovascular system drugs
esketamine,other general anesthetics in atc,"anesthetics, general",anesthetics,nervous system drugs
rhenium (186re) etidronic acid,various pain palliation radiopharmaceuticals,pain palliation (bone seeking agents),therapeutic radiopharmaceuticals,various drug classes in atc
hemoglobin raffimer,blood substitutes and plasma protein fractions,blood and related products,blood substitutes and perfusion solutions,blood and blood forming organ drugs
mirabegron,drugs for urinary frequency and incontinence,urologicals,urologicals,genito urinary system and sex hormones
"atorvastatin, acetylsalicylic acid and ramipril","hmg coa reductase inhibitors, other combinations","lipid modifying agents, combinations",lipid modifying agents,cardiovascular system drugs
urokinase,"enzymes, antithrombotic",antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
multienzymes and acid preparations,"enzyme and acid preparations, combinations","digestives, incl. enzymes","digestives, incl. enzymes",alimentary tract and metabolism drugs
pindolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
tridihexethyl,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
tioconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
valaciclovir,nucleosides and nucleotides excl. reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
choline fenofibrate,"fibrates, lipid modifying drugs, plain","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
g-strophanthin,strophanthus glycosides used in cardiac therapy,cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
"dipyrocetyl, combinations with psycholeptics","salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
"reserpine and diuretics, combinations with psycholeptics",rauwolfia alkaloids and diuretics in combination,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
"esomeprazole, amoxicillin and clarithromycin",combinations for eradication of helicobacter pylori,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
methohexital,"barbiturates, hypnotics and sedatives, plain",hypnotics and sedatives,psycholeptics,nervous system drugs
formestane,aromatase inhibitors,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
"phenylpropanolamine, combinations",sympathomimetics,nasal decongestants for systemic use,nasal preparations,respiratory system drugs
maribavir,other antivirals in atc,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
"estradiol, combinations","natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones
salbutamol,selective beta-2-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs
anthrax immunoglobulin,specific immunoglobulins,immunoglobulins,immune sera and immunoglobulins,antiinfectives for systemic use
bevantolol and thiazides,"beta blocking agents, selective, and thiazides",beta blocking agents and thiazides,beta-adrenergic blocking agents,cardiovascular system drugs
ethyl hydroxybenzoate,other antifungals for topical use in atc,antifungals for topical use,antifungals for dermatological use,dermatologicals
temafloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
nitrofural,other antiinfectives in atc,antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
diphenhydramine,"aminoalkyl ethers, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
dofetilide,"antiarrhythmics, class iii","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
aurothioglucose,gold preparations,specific antirheumatic agents,antiinflammatory and antirheumatic products,musculo-skeletal system drugs
cholic acid,bile acids and derivatives for bile therapy,bile therapy drugs,bile and liver therapy drugs,alimentary tract and metabolism drugs
"glycobiarsol, combinations","arsenic compounds, for amoebiasis and other protozoal diseases",agents against amoebiasis and other protozoal diseases,antiprotozoals,"antiparasitic products, insecticides and repellents"
tacrine,anticholinesterase anti-dementia drugs,anti-dementia drugs,psychoanaleptics,nervous system drugs
epinephrine,other agents for local oral treatment in atc,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
ethambutol,other drugs for treatment of tuberculosis in atc,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
lonazolac,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
norgestrel and estrogen,"progestogens and estrogens, sequential preparations",progestogens and estrogens in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
levodropropizine,other cough suppressants in atc,"cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
cloxazolam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
blinatumomab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
vorozole,aromatase inhibitors,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
sodium borate,other antiinfectives in atc,antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
dexetimide,"tertiary amines, anticholinergic",anticholinergic agents,anti-parkinson drugs,nervous system drugs
mitoguazone,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
estradiol,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones
methyltestosterone and estrogen,androgens and estrogens,androgens and female sex hormones in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
altretamine,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
niclosamide,salicylic acid derivative anticestodals,anticestodals,anthelmintics,"antiparasitic products, insecticides and repellents"
bedaquiline,other drugs for treatment of tuberculosis in atc,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
eszopiclone,benzodiazepine related hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs
amino(diphenylhydantoin) valeric acid,"hydantoin derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs
idoxuridine,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
droperidol,"butyrophenone derivatives, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
lormetazepam,benzodiazepine derivative hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs
propenidazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
fusidic acid,steroid antibacterials,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
propamidine,biguanides and amidines as antiseptics and disinfectants,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
sulfamethoxazole and trimethoprim,"combinations of sulfonamides and trimethoprim, incl. derivatives",sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
picodralazine and diuretics,hydrazinophthalazine derivatives and diuretics,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
megestrol and estrogen,"progestogens and estrogens, sequential preparations",progestogens and estrogens in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
calcium hexamine thiocyanate,other nasal preparations in atc,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
thiamphenicol,"amphenicol antibacterials, systemic",amphenicols,antibacterials for systemic use,antiinfectives for systemic use
methylpentynol,other hypnotics and sedatives in atc,hypnotics and sedatives,psycholeptics,nervous system drugs
ulipristal,"progesterone receptor modulators, sex hormones and modulators of the genital system",other sex hormones and modulators of the genital system in atc,sex hormones and modulators of the genital system,genito urinary system and sex hormones
ephedrine,sympathomimetics excl. antiglaucoma preparations,mydriatics and cycloplegics,ophthalmologicals,sensory organ drugs
"varicella, live attenuated",varicella zoster vaccines,viral vaccines,vaccines,antiinfectives for systemic use
oxiconazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
bromocriptine,prolactine inhibitors,other gynecologicals in atc,other gynecologicals in atc,genito urinary system and sex hormones
dexmedetomidine,other hypnotics and sedatives in atc,hypnotics and sedatives,psycholeptics,nervous system drugs
cefotaxime,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
furazolidone,other gynecological antiinfectives and antiseptics in atc,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
chlorotrianisene,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones
etifoxine,other anxiolytics in atc,anxiolytics,psycholeptics,nervous system drugs
insulin (pork),"insulins and analogues for injection, intermediate-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
ixazomib,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
calcium aminosalicylate,aminosalicylic acid and derivatives,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
norethisterone and ethinylestradiol,"progestogens and estrogens systemic contraceptives, sequential preparations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
palivizumab,specific immunoglobulins,immunoglobulins,immune sera and immunoglobulins,antiinfectives for systemic use
apixaban,direct factor xa inhibitors,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
calcium iopodate,"watersoluble, hepatotropic x-ray contrast media","x-ray contrast media, iodinated",contrast media,various drug classes in atc
calcium chloride,electrolyte solutions,i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
atorvastatin and amlodipine,"hmg coa reductase inhibitors, other combinations","lipid modifying agents, combinations",lipid modifying agents,cardiovascular system drugs
streptokinase,"enzymes, antithrombotic",antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
"troxerutin, combinations",bioflavonoid drugs for capillary stabilizing,capillary stabilizing agents,vasoprotectives,cardiovascular system drugs
sulfamethizole,antiinfective irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
dienogest and ethinylestradiol,"progestogens and estrogen systemic contraceptives, fixed combinations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
desloratadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
aminolevulinic acid,sensitizers used in photodynamic/radiation therapy,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
paclitaxel,"taxanes, antineoplastic","plant alkaloids and other natural products, antineoplastic drugs",antineoplastic agents,antineoplastic and immunomodulating agents
prednisolone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
dexpanthenol,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
dibromotyrosine,other antithyroid preparations in atc,antithyroid preparations,thyroid therapy drugs,"systemic hormonal preparations, excl. sex hormones and insulins"
darbepoetin alfa,other antianemic preparations in atc,other antianemic preparations in atc,antianemic preparations,blood and blood forming organ drugs
diiodohydroxypropane,"iodine products, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
codeine and other non-opioid analgesics,opioids in combination with non-opioid analgesics,opioid analgesics,analgesics,nervous system drugs
talinolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
"phenothrin, combinations","pyrethrines, incl. synthetic compounds, ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
insulin (pork),"insulins and analogues for injection, long-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
thymopentin,other immunostimulants in atc,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
nimustine,"nitrosoureas, antineoplastic alkylating agents",alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents
"papillomavirus (human types 6, 11, 16, 18)",papillomavirus vaccines,viral vaccines,vaccines,antiinfectives for systemic use
pegloticase,other antigout preparations in atc,antigout preparations,antigout preparations,musculo-skeletal system drugs
ciprofloxacin and metronidazole,combinations of antibacterials,combinations of antibacterials,antibacterials for systemic use,antiinfectives for systemic use
nitrofurantoin,"nitrofuran derivatives, antibacterials for systemic use",other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
sodium iothalamate (125i),other renal system diagnostic radiopharmaceuticals in atc,renal system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
benzoctamine,dibenzo-bicyclo-octadiene derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
dutasteride,testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones
aztreonam,monobactams,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
sertraline,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
afamelanotide,protectives against uv-radiation for systemic use,protectives against uv-radiation,emollients and protectives,dermatologicals
"streptomycin, combinations","antibiotics, intestinal",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
alemtuzumab,selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
diclofenamide,"carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
mesna,mucolytics,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
phentolamine,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
ferrous carbonate,"iron bivalent, oral antianemic preparations",iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
ascorbic acid,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
benzylpenicillin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
periciazine,"phenothiazines with piperidine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
neomycin,other aminoglycosides in atc,aminoglycoside antibacterials,antibacterials for systemic use,antiinfectives for systemic use
benzoxonium chloride,"quaternary ammonium compounds, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
bevonium and analgesics,synthetic anticholinergic agents in combination with analgesics,antispasmodics in combination with analgesics,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
rosiglitazone,"thiazolidinediones, blood glucose lowering drugs","blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
vinyl ether,ethers for general anesthesia,"anesthetics, general",anesthetics,nervous system drugs
erythromycin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
domiodol,mucolytics,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
fosfestrol,"estrogens, endocrine therapy drugs",hormones and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
betamethasone and mydriatics,corticosteroids and mydriatics in combination,"antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
oleandomycin,macrolides,"macrolides, lincosamides and streptogramins",antibacterials for systemic use,antiinfectives for systemic use
sisomicin,other aminoglycosides in atc,aminoglycoside antibacterials,antibacterials for systemic use,antiinfectives for systemic use
capsaicin,other local anesthetics in atc,local anesthetics,anesthetics,nervous system drugs
gonadorelin,gonadotropin-releasing hormones,hypothalamic hormones,pituitary and hypothalamic hormones and analogues,"systemic hormonal preparations, excl. sex hormones and insulins"
guanethidine,"guanine derivatives, peripherally acting antiadrenergic agents","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
fenpiverinium,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
tazarotene,other antipsoriatics for topical use in atc,antipsoriatics for topical use,antipsoriatics,dermatologicals
prazosin,"alpha-adrenoreceptor antagonists, peripherally acting","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
"folic acid, combinations",folic acid and derivatives as antianemics,vitamin b12 and folic acid,antianemic preparations,blood and blood forming organ drugs
butylscopolamine,"belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders","belladonna and derivatives containing drugs, plain for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
migalastat,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
fat emulsions,solutions for parenteral nutrition,"iv solutions used in parenteral administration of fluids, electrolytes and nutrients",blood substitutes and perfusion solutions,blood and blood forming organ drugs
moroxydine,other antivirals in atc,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
corifollitropin alfa,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
dextrothyroxine,other lipid modifying agents in atc,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
cefprozil,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
fluocortolone and antiseptics,"corticosteroids, potent, combinations with antiseptics","corticosteroids, combinations with antiseptics","corticosteroids, dermatological preparations",dermatologicals
technetium (99mtc) pentavalent succimer,"technetium 99m compounds, tumor detection radiopharmaceuticals",tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
deferiprone,iron chelating agents,all other therapeutic products,all other therapeutic products,various drug classes in atc
cyclizine,"piperazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
"lactic acid producing organisms, combinations",antidiarrheal microorganisms,antidiarrheal microorganisms,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
thioctic acid,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
metoprolol and amlodipine,beta blocking agents and calcium channel blockers,"beta blocking agents, other combinations",beta-adrenergic blocking agents,cardiovascular system drugs
flumetasone,"corticosteroids, moderately potent, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals
gliquidone,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
dexamethasone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
flumetasone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
magnesium pidolate,"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
